"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"Moonlight","Barry Jenkins","United States",2016,"Dramas, Independent Movies, LGBTQ Movies","In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.","Moonlight","Drama",99,"4 stars"
"Pan's Labyrinth","Guillermo del Toro","Mexico, Spain",2006,"Dramas, International Movies, Sci-Fi & Fantasy","Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.","Pan's Labyrinth","Drama,Mystery,Thriller,Fantasy,War",98,"4 stars"
"Psycho","Mysskin","India",2020,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.","Psycho","Mystery,Thriller,Horror",97,"4 stars"
"Mean Streets","Martin Scorsese","United States",1973,"Classic Movies, Dramas, Independent Movies","In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler.","Mean Streets","Drama,Thriller,Crime",96,"4 stars"
"Rosemary's Baby","Roman Polanski","United States",1968,"Classic Movies, Horror Movies, Thrillers","A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.","Rosemary's Baby","Drama,Horror",96,"4 stars"
"Carol","Todd Haynes","United Kingdom, United States, Australia",2015,"Dramas, LGBTQ Movies, Romantic Movies","In the 1950s, a glamorous married woman and an aspiring photographer embark on a passionate, forbidden romance that will forever change their lives.","Carol","Drama,Romance",95,"4 stars"
"A Separation","Asghar Farhadi","Iran, France",2011,"Dramas, International Movies","Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad.","A Separation","Drama",95,"4 stars"
"I Am Not Your Negro","Raoul Peck","Switzerland, France, Belgium, United States",2017,"Documentaries","Based on James Baldwin's unfinished book, this visual essay explores racism through the stories of Medgar Evers, Malcolm X and Martin Luther King Jr.","I Am Not Your Negro","Documentary",95,"4 stars"
"The Social Network","David Fincher","United States",2010,"Dramas","Director David Fincher's biographical drama chronicles the meteoric rise of Facebook CEO Mark Zuckerberg from Harvard sophomore to Internet superstar.","The Social Network","Biography,Drama,History,Comedy",95,"4 stars"
"The Lord of the Rings: The Return of the King","Peter Jackson","New Zealand, United States",2003,"Action & Adventure, Sci-Fi & Fantasy","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor.","The Lord of the Rings: The Return of the King","Action,Adventure,Fantasy",94,"4 stars"
"Pulp Fiction","Quentin Tarantino","United States",1994,"Classic Movies, Cult Movies, Dramas","This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.","Pulp Fiction","Drama,Thriller,Crime",94,"4 stars"
"Schindler's List","Steven Spielberg","United States",1993,"Classic Movies, Dramas","Oskar Schindler becomes an unlikely humanitarian, spending his entire fortune to help save 1,100 Jews from Auschwitz during World War II.","Schindler's List","Biography,Drama,History,War",94,"4 stars"
"Taxi Driver","Martin Scorsese","United States",1976,"Classic Movies, Dramas, Thrillers","Enraged by New York's moral rot and urban decay, an unhinged cab driver goes mad, plotting an assassination and saving a teen sex worker.","Taxi Driver","Drama,Thriller,Crime",94,"4 stars"
"Lady Bird","Greta Gerwig","United States",2017,"Comedies, Dramas, Independent Movies","An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.","Lady Bird","Drama,Comedy",94,"4 stars"
"Crouching Tiger, Hidden Dragon","Ang Lee","Taiwan, Hong Kong, United States, China",2000,"Action & Adventure, International Movies, Romantic Movies","A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.","Crouching Tiger, Hidden Dragon","Action,Adventure,Drama,Fantasy,Romance",93,"4 stars"
"There Will Be Blood","Paul Thomas Anderson","United States",2007,"Dramas, Independent Movies","An ambitious prospector strikes it rich and turns a simple village into a boomtown, stoking the ire of a charismatic young preacher.","There Will Be Blood","Drama,Thriller",93,"4 stars"
"Spotlight","Tom McCarthy","United States",2015,"Dramas, Independent Movies","A team of reporters and editors at the Boston Globe relentlessly investigate a shocking child molestation cover-up by the Catholic Church.","Spotlight","Biography,Drama,History,Thriller",93,"4 stars"
